variable_code,variable_long_name,time_frequency,mip_table,total_size_GB,number_of_downloads
zg500,Geopotential Height at 500hPa,6hrPt,6hrPlevPt,3455.35,4853
rlutcs,TOA Outgoing Clear-Sky Longwave Radiation,day,CFday,3433.60,8757
pop,Mole Concentration of Particulate Organic Matter Expressed as Phosphorus in Sea Water,mon,Omon,3424.12,2606
tauv,Surface Downward Northward Wind Stress,mon,Amon,3421.76,273706
phypico,Mole Concentration of Picophytoplankton Expressed as Carbon in Sea Water,mon,Omon,3360.65,2121
rsdcs4co2,Downwelling Clear-Sky Shortwave Radiation 4XCO2 Atmosphere,mon,CFmon,3292.28,2599
tnhus,Tendency of Specific Humidity,subhrPt,CFsubhr,3284.71,846
h2o,Mass Fraction of Water,mon,AERmon,3260.44,943
rv850,Relative Vorticity at 850hPa,6hrPt,6hrPlevPt,3237.71,3740
wfo,Water Flux into Sea Water,mon,Omon,3218.68,101132
uas,Eastward Near-Surface Wind,6hr,6hrPlevPt,3217.04,8015
hfy,Ocean Heat Y Transport,mon,Omon,3189.78,56870
sithick,Sea Ice Thickness,mon,SImon,3184.07,316590
si,Total Dissolved Inorganic Silicon Concentration,yr,Oyr,3183.85,11213
mmrsoa,Secondary Organic Aerosol Mass Mixing Ratio,mon,AERmon,3182.98,5364
sisnthick,Snow Thickness,day,SIday,3175.99,11667
prlsprof,Stratiform Rainfall Flux,3hrPt,CF3hr,3159.78,724
loadbc,Load of Black Carbon Aerosol,day,Eday,3152.78,5859
tnhusmp,Tendency of Specific Humidity Due to Model Physics,subhrPt,CFsubhr,3132.76,865
hno3,HNO3 Volume Mixing Ratio,mon,AERmon,3119.76,4784
huss,Near-Surface Specific Humidity,6hrPt,6hrPlevPt,3113.23,5505
tntrlcs,Tendency of Air Temperature Due to Clear Sky Longwave Radiative Heating,mon,Emon,3112.70,818
concdust,Concentration of Dust,mon,Emon,3090.87,1000
rsdsdiff,Surface Diffuse Downwelling Shortwave Radiation,3hr,3hr,3061.64,1820
rld,Downwelling Longwave Radiation,subhrPt,CFsubhr,3044.66,866
hcho,Formaldehyde Volume Mixing Ratio,mon,AERmon,3036.17,4552
rldcs,Downwelling Clear-Sky Longwave Radiation,subhrPt,CFsubhr,2985.83,840
chlpico,Mass Concentration of Picophytoplankton Expressed as Chlorophyll in Sea Water,mon,Omon,2977.26,1401
vas,Northward Near-Surface Wind,6hr,6hrPlevPt,2974.79,7757
conccmcn,Number Concentration Coarse Mode Aerosol,mon,Emon,2965.61,670
od550aer,Ambient Aerosol Optical Thickness at 550nm,day,AERday,2962.15,8519
rldscs,Surface Downwelling Clear-Sky Longwave Radiation,mon,Amon,2925.12,275857
pfull,Pressure at Model Full-Levels,6hrPt,6hrLev,2919.20,140
zmla,Height of Boundary Layer,day,Eday,2889.18,7889
ch4,Mole Fraction of CH4,mon,Amon,2884.59,7457
rlu,Upwelling Longwave Radiation,subhrPt,CFsubhr,2856.19,736
lossco,Monthly Loss of Atmospheric Carbon Monoxide,mon,AERmon,2844.08,5400
clc,Convective Cloud Area Percentage,3hrPt,CF3hr,2819.18,730
opottemppadvect,Tendency of Sea Water Potential Temperature Expressed as Heat Content Due to Parameterized Eddy Advection,mon,Emon,2816.75,538
clivi,Ice Water Path,day,CFday,2802.71,6097
tnhusscpbl,Tendency of Specific Humidity Due to Stratiform Cloud and Precipitation and Boundary Layer Mixing,subhrPt,CFsubhr,2787.64,863
loadss,Load of Sea-Salt Aerosol,day,Eday,2754.22,4883
zhalfo,Depth Below Geoid of Interfaces Between Ocean Layers,mon,Omon,2733.58,22232
wap500,Pressure Tendency,day,CFday,2718.83,6200
clcalipso,CALIPSO Percentage Cloud Cover,mon,CFmon,2713.63,1837
hurs,Near-Surface Relative Humidity,6hr,6hrPlev,2711.31,4968
loadso4,Load of SO4,day,Eday,2691.98,4937
loadoa,Load of Dry Aerosol Organic Matter,day,Eday,2676.61,5010
prsn,Snowfall Flux,mon,Amon,2656.84,449048
hcl,HCl Volume Mixing Ratio,mon,AERmon,2643.17,662
dissic,Dissolved Inorganic Carbon Concentration,yr,Oyr,2628.36,16615
loaddust,Load of Dust,day,Eday,2594.68,5180
msftbarot,Ocean Barotropic Mass Streamfunction,mon,Omon,2549.58,135866
tntrscs,Tendency of Air Temperature Due to Clear Sky Shortwave Radiative Heating,mon,Emon,2543.20,759
prc,Convective Precipitation,mon,Amon,2539.54,238199
ta500,Air Temperature,day,Eday,2525.93,10994
rlucs,Upwelling Clear-Sky Longwave Radiation,subhrPt,CFsubhr,2501.57,675
intpp,Primary Organic Carbon Production by All Types of Phytoplankton,mon,Omon,2497.88,38269
n2o,Mole Fraction of N2O,mon,AERmon,2454.19,816
hus,Specific Humidity,6hr,6hrPlevPt,2447.02,7180
sfcwind,Near-Surface Wind Speed,6hrPt,6hrPlevPt,2437.82,3208
msftyz,Ocean Y Overturning Mass Streamfunction,mon,Omon,2429.78,271900
snc,Snow Area Percentage,day,day,2426.49,83053
clwvi,Condensed Water Path,day,CFday,2421.15,6048
mmrnh4,NH4 Mass Mixing Ratio,mon,AERmon,2414.90,4763
expc,Downward Flux of Particulate Organic Carbon,yr,Oyr,2359.03,10586
sitemptop,Surface Temperature of Sea Ice,day,SIday,2352.73,8416
photo1d,"Photolysis Rate of Ozone (O3) to Excited Atomic Oxygen (the Singlet D State, O1D)",mon,AERmon,2351.43,910
ocontemppadvect,Tendency of Sea Water Conservative Temperature Expressed as Heat Content Due to Parameterized Eddy Advection,mon,Emon,2347.45,197
ta700,Air Temperature,day,CFday,2304.64,6835
ocontemppmdiff,Tendency of Sea Water Conservative Temperature Expressed as Heat Content Due to Parameterized Mesoscale Diffusion,mon,Emon,2301.78,196
prsnc,Convective Snowfall Flux,3hrPt,CF3hr,2295.41,733
ocontemptend,Tendency of Sea Water Conservative Temperature Expressed as Heat Content,mon,Emon,2251.82,194
lai,Leaf Area Index,day,Eday,2245.31,11704
sivol,Sea-Ice Volume per Area,mon,SImon,2209.19,217415
pfull,Pressure at Model Full-Levels,3hrPt,CF3hr,2190.88,261
ocontemprmadvect,Tendency of Sea Water Conservative Temperature Expressed as Heat Content Due to Residual Mean Advection,mon,Emon,2172.81,158
pfull,Pressure at Model Full-Levels,subhrPt,CFsubhr,2160.90,275
isop,Isoprene Volume Mixing Ratio,mon,AERmon,2157.83,4688
tnhusd,Tendency of Specific Humidity Due to Numerical Diffusion,mon,CFmon,2153.33,913
prsnc,Convective Snowfall Flux,3hr,E3hr,2150.59,37
clws,Mass Fraction of Stratiform Cloud Liquid Water,3hrPt,CF3hr,2150.54,714
po4,Total Dissolved Inorganic Phosphorus Concentration,yr,Oyr,2135.70,9441
ocontempdiff,Tendency of Sea Water Conservative Temperature Expressed as Heat Content Due to Parameterized Dianeutral Mixing,mon,Emon,2133.16,195
wbptemp,Wet Bulb Potential Temperature,6hrPt,6hrPlevPt,2109.94,673
rtmt,Net Downward Radiative Flux at Top of Model,mon,Amon,2076.66,184750
pan,PAN Volume Mixing Ratio,mon,AERmon,2075.78,4479
zg,Geopotential Height,mon,Emon,2050.81,20271
mrsol,Total Water Content of Soil Layer,6hrPt,6hrPlevPt,2048.09,1154
mrso,Total Soil Moisture Content,mon,Lmon,2040.29,493173
prsn,Snowfall Flux,mon,Omon,2038.68,49838
chl,Mass Concentration of Total Phytoplankton Expressed as Chlorophyll in Sea Water,yr,Oyr,2033.05,11340
dfe,Dissolved Iron Concentration,yr,Oyr,2021.28,9367
clivi,Ice Water Path,mon,Amon,2021.12,190005
hfx,Ocean Heat X Transport,mon,Omon,2016.39,54856
phycos,Sea Surface Phytoplankton Carbon Concentration,day,Oday,2006.13,693
prrc,Convective Rainfall Rate,3hr,E3hr,2001.89,691
c3h8,C3H8  volume mixing ratio,mon,AERmon,1984.46,3957
rsntds,Net Downward Shortwave Radiation at Sea Water Surface,mon,Omon,1984.34,78725
rsdsdiff,Surface Diffuse Downwelling Shortwave Radiation,day,Eday,1973.00,2572
clwvi,Condensed Water Path,mon,Amon,1970.13,192694
c2h6,C2H6 Volume Mixing Ratio,mon,AERmon,1950.36,3969
cl,Percentage Cloud Cover,subhrPt,CFsubhr,1943.75,758
ec550aer,Aerosol Extinction Coefficient,6hrPt,6hrLev,1943.10,532
od550aer,Ambient Aerosol Optical Thickness at 550nm,mon,AERmon,1942.42,81323
cls,Percentage Cover of Stratiform Cloud,3hrPt,CF3hr,1942.24,369
rsd,Downwelling Shortwave Radiation,subhrPt,CFsubhr,1929.55,707
rsu,Upwelling Shortwave Radiation,subhrPt,CFsubhr,1927.39,727
ch3coch3,CH3COCH3  volume mixing ratio,mon,AERmon,1924.18,3952
talk,Total Alkalinity,yr,Oyr,1914.82,10720
tntc,Tendency of Air Temperature Due to Convection,subhrPt,CFsubhr,1893.76,745
tntpbl,Tendency of Air Temperature Due to Boundary Layer Mixing,mon,Emon,1870.24,1254
mrsll,Liquid Water Content of Soil Layer,mon,Emon,1862.21,15762
n2o,Mole Fraction of N2O,mon,Amon,1854.02,1730
siconca,Sea-Ice Area Percentage (Atmospheric Grid),day,SIday,1851.70,71231
rsucs,Upwelling Clear-Sky Shortwave Radiation,subhrPt,CFsubhr,1841.88,688
mcu,Convective Updraft Mass Flux,mon,CFmon,1831.27,2609
ph,pH,yr,Oyr,1830.79,9261
rsdcs,Downwelling Clear-Sky Shortwave Radiation,subhrPt,CFsubhr,1823.28,669
prcprof,Convective Rainfall Flux,3hrPt,CF3hr,1820.82,364
pbo,Sea Water Pressure at Sea Floor,mon,Omon,1794.38,65633
spco2,Surface Aqueous Partial Pressure of CO2,mon,Omon,1792.36,29847
mrro,Total Runoff,mon,Lmon,1772.99,453065
cli,Mass Fraction of Cloud Ice,subhrPt,CFsubhr,1746.94,613
ts,Surface Temperature,6hrPt,6hrPlevPt,1738.12,5063
wsgmax10m,Maximum Wind Speed of Gust at 10m,6hr,6hrPlev,1730.08,3091
msftmz,Ocean Meridional Overturning Mass Streamfunction,mon,Omon,1728.33,70320
tnhuspbl,Tendency of Specific Humidity Due to Boundary Layer Mixing,mon,Emon,1717.17,1199
gpp,Carbon Mass Flux out of Atmosphere Due to Gross Primary Production on Land [kgC m-2 s-1],3hr,E3hr,1705.85,1121
tnhusc,Tendency of Specific Humidity Due to Convection,subhrPt,CFsubhr,1698.24,745
zg1000,Geopotential Height at 1000hPa,day,AERday,1696.23,4702
chegpso4,Gas-Phase Production Rate of SO4,mon,AERmon,1658.44,4549
v2,Mean-Squared Northward Wind Speed,mon,Emon,1655.87,395
ec550aer,Aerosol Extinction Coefficient,mon,Emon,1654.40,436
rsucs,Upwelling Clear-Sky Shortwave Radiation,3hrPt,E3hrPt,1646.23,217
phalf,Pressure on Model Half-Levels,mon,AERmon,1641.24,4838
wbptemp,Wet Bulb Potential Temperature,6hr,6hrPlevPt,1633.01,1307
tas,Near-Surface Air Temperature,6hr,6hrPlevPt,1626.31,6286
tnhusd,Tendency of Specific Humidity Due to Numerical Diffusion,subhrPt,CFsubhr,1624.04,124
tauvpbl,Northward Surface Stress from Planetary Boundary Layer Scheme,day,Eday,1608.36,2721
clis,Mass Fraction of Stratiform Cloud Ice,3hrPt,CF3hr,1592.42,362
hus850,Specific Humidity,day,Eday,1586.57,7755
jno2,Photolysis Rate of NO2,mon,AERmon,1584.89,4055
tauupbl,Eastward Surface Stress from Planetary Boundary Layer Scheme,day,Eday,1569.99,2668
ua,Eastward Wind,day,EdayZ,1543.65,14452
u2,Mean-Squared Eastward Wind Speed,mon,Emon,1537.65,379
reffclws,Stratiform Cloud Liquid Droplet Effective Radius,mon,Emon,1527.39,2092
sossq,Square of Sea Surface Salinity,day,Oday,1520.20,915
chlos,Surface Mass Concentration of Total Phytoplankton Expressed as Chlorophyll in Sea Water,mon,Omon,1518.22,20430
rlutcs,TOA Outgoing Clear-Sky Longwave Radiation,3hr,E3hr,1509.86,1810
rsutcs,TOA Outgoing Clear-Sky Shortwave Radiation,3hr,E3hr,1498.70,2908
clw,Mass Fraction of Cloud Liquid Water,subhrPt,CFsubhr,1498.06,632
phalf,Pressure on Model Half-Levels,subhrPt,CFsubhr,1490.74,265
phyc,Phytoplankton Carbon Concentration,yr,Oyr,1478.86,5746
tsl,Temperature of Soil,6hrPt,6hrPlevPt,1472.90,5658
cldnvi,Column Integrated Cloud Droplet Number,day,Eday,1469.68,2381
utendnogw,Eastward Acceleration Due to Non-Orographic Gravity Wave Drag,mon,Emon,1465.76,850
loadpoa,Load of Dry Aerosol Primary Organic Matter,day,Eday,1459.75,3612
epc100,Downward Flux of Particulate Organic Carbon,mon,Omon,1459.74,20839
phalf,Pressure on Model Half-Levels,3hrPt,CF3hr,1448.39,248
edt,Eddy Diffusivity Coefficient for Temperature,mon,CFmon,1418.39,575
evu,Eddy Viscosity Coefficient for Momentum,mon,CFmon,1413.72,584
landcoverfrac,Percentage of Area by Vegetation or Land-Cover Category,mon,Lmon,1405.57,34558
lai,Leaf Area Index,mon,Lmon,1397.15,268302
sispeed,Sea-Ice Speed,day,SIday,1384.90,16206
mmrpm2p5,PM2.5 Mass Mixing Ratio,mon,AERmon,1382.82,4375
remoc,Remineralization of Organic Carbon,yr,Oyr,1382.02,4007
pp,Primary Carbon Production by Phytoplankton,yr,Oyr,1367.97,8076
tntscp,Tendency of Air Temperature Due to Stratiform Clouds and Precipitation,mon,Emon,1367.86,1214
mrsos,Moisture in Upper Portion of Soil Column,mon,Lmon,1357.12,295884
rv850,Relative Vorticity at 850hPa,6hr,6hrPlev,1354.63,2039
mmraerh2o,Aerosol Water Mass Mixing Ratio,mon,AERmon,1334.47,4383
utendogw,Eastward Acceleration Due to Orographic Gravity Wave Drag,mon,Emon,1327.73,1736
expcalc,Downward Flux of Calcite,yr,Oyr,1319.21,2674
gpp,Carbon Mass Flux out of Atmosphere Due to Gross Primary Production on Land [kgC m-2 s-1],mon,Lmon,1318.71,248987
nh4,Dissolved Ammonium Concentration,yr,Oyr,1313.97,2187
tob,Sea Water Potential Temperature at Sea Floor,mon,Omon,1312.63,42342
evs,Water Evaporation Flux Where Ice Free Ocean over Sea,mon,Omon,1285.30,51640
dpco2,Delta CO2 Partial Pressure,mon,Omon,1279.96,16262
mlotstmax,Maximum Ocean Mixed Layer Thickness Defined by Sigma T,mon,Omon,1277.64,49522
sfcwind,Near-Surface Wind Speed,3hrPt,CF3hr,1260.96,1763
rsdcs,Downwelling Clear-Sky Shortwave Radiation,3hrPt,E3hrPt,1252.85,171
expsi,Sinking Particulate Silicon Flux,yr,Oyr,1248.91,3209
c3h6,C3H6  volume mixing ratio,mon,AERmon,1231.46,3716
co3,Carbonate Ion Concentration,yr,Oyr,1220.45,2757
tnhusscp,Tendency of Specific Humidity Due to Stratiform Clouds and Precipitation,mon,Emon,1219.72,1164
mmrpm1,PM1.0 Mass Mixing Ratio,mon,AERmon,1216.83,1808
twap,Product of Air Temperature and Omega,mon,Emon,1213.88,244
cldicemxrat,Cloud Ice Mixing Ratio,6hrPt,6hrPlevPt,1207.98,138
siu,X-Component of Sea-Ice Velocity,mon,SImon,1185.52,149386
emilnox,Layer-Integrated Lightning Production of NOx,mon,AERmon,1183.48,6132
siv,Y-Component of Sea-Ice Velocity,mon,SImon,1179.89,150831
no3os,Surface Dissolved Nitrate Concentration,mon,Omon,1179.44,18503
lossn2o,Monthly Loss of Atmospheric Nitrous Oxide,mon,AERmon,1175.61,238
ts,Surface Temperature,3hrPt,CF3hr,1170.91,1336
osalttend,Tendency of Sea Water Salinity Expressed as Salt Content,yr,Oyr,1170.25,2348
osaltdiff,Tendency of Sea Water Salinity Expressed as Salt Content Due to Parameterized Dianeutral Mixing,yr,Oyr,1166.40,2357
loadsoa,Load of Dry Aerosol Secondary Organic Matter,day,Eday,1166.08,2280
fgo2,Surface Downward Flux of O2,mon,Omon,1149.16,17436
osaltrmadvect,Tendency of Sea Water Salinity Expressed as Salt Content Due to Residual Mean Advection,yr,Oyr,1145.12,2333
dissoc,Dissolved Organic Carbon Concentration,yr,Oyr,1144.02,4152
osaltpmdiff,Tendency of Sea Water Salinity Expressed as Salt Content Due to Parameterized Mesoscale Diffusion,yr,Oyr,1142.82,2291
rsdscsdiff,Surface Diffuse Downwelling Clear Sky Shortwave Radiation,day,Eday,1122.47,2270
osaltpadvect,Tendency of Sea Water Salinity Expressed as Salt Content Due to Parameterized Eddy Advection,yr,Oyr,1121.83,2243
nh50,Artificial Tracer with 50 Day Lifetime,mon,AERmon,1106.96,134
clwc,Mass Fraction of Convective Cloud Liquid Water,mon,CFmon,1082.71,1101
mlotstmin,Minimum Ocean Mixed Layer Thickness Defined by Sigma T,mon,Omon,1080.95,43524
rh,Total Heterotrophic Respiration on Land as Carbon Mass Flux [kgC m-2 s-1],3hr,E3hr,1071.37,480
t20d,Depth of 20 degree Celsius Isotherm,day,Eday,1050.33,1600
clwc,Mass Fraction of Convective Cloud Liquid Water,3hrPt,CF3hr,1039.04,199
mrros,Surface Runoff,mon,Lmon,1037.59,236969
npp,Net Primary Production on Land as Carbon Mass Flux [kgC m-2 s-1],mon,Lmon,1036.18,187903
edt,Eddy Diffusivity Coefficient for Temperature,subhrPt,CFsubhr,1030.88,152
simass,Sea-Ice Mass per Area,mon,SImon,1030.03,109934
graz,Total Grazing of Phytoplankton by Zooplankton,yr,Oyr,1020.90,6702
sisnthick,Snow Thickness,mon,SImon,999.05,105206
ua,Eastward Wind,6hr,6hrLev,996.31,57
zg1000,Geopotential Height at 1000hPa,6hr,6hrPlev,985.29,2350
pctisccp,ISCCP Mean Cloud Top Pressure,day,CFday,985.18,1910
dcalc,Calcite Dissolution,yr,Oyr,984.03,2362
sfcwind,Near-Surface Wind Speed,6hr,6hrPlev,982.46,2230
opottemptend,Tendency of Sea Water Potential Temperature Expressed as Heat Content,yr,Oyr,979.95,2609
evu,Eddy Viscosity Coefficient for Momentum,subhrPt,CFsubhr,965.97,134
c2h2,C2H2 Volume Mixing Ratio,mon,AERmon,960.96,109
expfe,Sinking Particulate Iron Flux,yr,Oyr,940.31,834
cldwatmxrat,Cloud Water Mixing Ratio,6hrPt,6hrPlevPt,938.24,114
uv,Product of Eastward Wind and Northward Wind,mon,Emon,930.59,251
zossq,Square of Sea Surface Height Above Geoid,mon,Omon,928.76,17825
phalf,Pressure on Model Half-Levels,monC,Amon,911.73,1375
scldncl,Cloud Droplet Number Concentration of Stratiform Cloud Tops,day,Eday,911.37,2267
concnmcn,Number Concentration of Nucleation Mode Aerosol,mon,Emon,909.25,314
mrsfl,Frozen Water Content of Soil Layer,mon,Emon,908.68,4027
cod,Cloud Optical Depth,day,AERday,895.64,295
chldiat,Mass Concentration of Diatoms Expressed as Chlorophyll in Sea Water,yr,Oyr,889.30,1555
bsi,Mole Concentration of Particulate Organic Matter Expressed as Silicon in Sea Water,yr,Oyr,886.70,3326
ta,Air Temperature,6hr,6hrLev,883.23,61
reffsclwtop,Cloud-Top Effective Droplet Radius in Stratiform Cloud,day,Eday,883.15,2285
ua,Eastward Wind,monC,Amon,882.04,419
va,Northward Wind,monC,Amon,881.90,415
fescav,Non-Biogenic Iron Scavenging,yr,Oyr,876.00,1073
co23d,3D-Field of Transported CO2,mon,Emon,870.95,813
epcalc100,Downward Flux of Calcite,mon,Omon,866.66,12496
toz,Total Column Ozone,day,AERday,866.54,3781
albisccp,ISCCP Mean Cloud Albedo,day,CFday,865.44,1875
pfull,Pressure at Model Full-Levels,monC,Amon,859.62,1405
rlut,TOA Outgoing Longwave Radiation,subhrPt,Esubhr,858.27,52
clic,Mass Fraction of Convective Cloud Ice,mon,CFmon,856.73,1091
difvho,Ocean Vertical Heat Diffusivity,yr,Oyr,855.39,1986
mc,Convective Mass Flux,subhrPt,CFsubhr,845.13,280
bddtdife,Rate of Change of Dissolved Inorganic Iron Due to Biological Activity,yr,Oyr,842.32,2772
bddtalk,Rate of Change of Alkalinity Due to Biological Activity,yr,Oyr,837.79,2798
dissicnat,Natural Dissolved Inorganic Carbon Concentration,yr,Oyr,837.37,2759
opottempdiff,Tendency of Sea Water Potential Temperature Expressed as Heat Content Due to Parameterized Dianeutral Mixing,yr,Oyr,833.32,2526
nbp,Carbon Mass Flux out of Atmosphere Due to Net Biospheric Production on Land [kgC m-2 s-1],mon,Lmon,832.67,147021
vt,Product of Air Temperature and Northward Wind,mon,Emon,831.81,285
rls,Net Longwave Surface Radiation,day,day,831.34,1992
tntrl,Tendency of Air Temperature Due to Longwave Radiative Heating,mon,Emon,828.36,1176
opottemppadvect,Tendency of Sea Water Potential Temperature Expressed as Heat Content Due to Parameterized Eddy Advection,yr,Oyr,815.42,2385
tdps,2m Dewpoint Temperature,mon,Emon,813.75,26212
sob,Sea Water Salinity at Sea Floor,mon,Omon,807.81,40173
bacc,Bacterial Carbon Concentration,mon,Omon,807.80,467
ra,Carbon Mass Flux into Atmosphere Due to Autotrophic (Plant) Respiration on Land [kgC m-2 s-1],3hr,E3hr,805.66,375
opottemprmadvect,Tendency of Sea Water Potential Temperature Expressed as Heat Content Due to Residual Mean Advection,yr,Oyr,798.97,2465
opottemppmdiff,Tendency of Sea Water Potential Temperature Expressed as Heat Content Due to Parameterized Mesoscale Diffusion,yr,Oyr,798.33,2394
reffclis,Hydrometeor Effective Radius of Stratiform Cloud Ice,mon,Emon,790.76,585
intdic,Dissolved Inorganic Carbon Content,mon,Omon,789.86,10180
bddtdin,Rate of Change of Nitrogen Nutrient Due to Biological Activity,yr,Oyr,789.42,2813
abs550aer,Ambient Aerosol Absorption Optical Thickness at 550nm,mon,AERmon,785.99,28290
bddtdic,Rate of Change of Dissolved Inorganic Carbon Due to Biological Activity,yr,Oyr,784.30,2954
bfe,Mole Concentration of Particulate Organic Matter Expressed as Iron in Sea Water,yr,Oyr,777.78,2903
rss,Net Shortwave Surface Radiation,day,day,775.68,1984
prra,Rainfall Flux over Land Ice,3hr,E3hr,774.64,460
cheaqpso4,Aqueous-Phase Production Rate of SO4,mon,AERmon,771.27,4538
tntmp,Tendency of Air Temperature Due to Model Physics,mon,Emon,767.99,1032
co3satarag,Mole Concentration of Carbonate Ion in Equilibrium with Pure Aragonite in Sea Water,yr,Oyr,756.87,1703
phyfe,Mole Concentration of Total Phytoplankton Expressed as Iron in Sea Water,yr,Oyr,754.61,3118
rh,Total Heterotrophic Respiration on Land as Carbon Mass Flux [kgC m-2 s-1],mon,Lmon,753.47,118832
ps,Surface Air Pressure,3hrPt,E3hrPt,746.97,1266
cveg,Carbon Mass in Vegetation,mon,Lmon,739.99,136223
cltisccp,ISCCP Total Cloud Cover Percentage,day,CFday,732.67,1935
clws,Mass Fraction of Stratiform Cloud Liquid Water,mon,CFmon,731.06,1374
difvso,Ocean Vertical Salt Diffusivity,yr,Oyr,729.79,1897
bddtdip,Rate of Change of Dissolved Phosphorus Due to Biological Activity,yr,Oyr,728.81,2483
co3satcalc,Mole Concentration of Carbonate Ion in Equilibrium with Pure Calcite in Sea Water,yr,Oyr,725.87,1649
pcalc,Calcite Production,yr,Oyr,723.29,2893
sitimefrac,Fraction of Time Steps with Sea Ice,day,SIday,723.08,7094
cct,Air Pressure at Convective Cloud Top,day,CFday,722.31,2152
snw,Surface Snow Amount,mon,LImon,720.07,339394
fediss,Particulate Source of Dissolved Iron,yr,Oyr,710.82,881
zooc,Zooplankton Carbon Concentration,yr,Oyr,706.54,3303
evspsblsoi,Water Evaporation from Soil,mon,Lmon,695.43,92000
phycos,Sea Surface Phytoplankton Carbon Concentration,mon,Omon,693.44,5913
epsi100,Downward Flux of Particulate Silicon,mon,Omon,674.71,9793
clivi,Ice Water Path,3hr,E3hr,673.03,985
ppdiaz,Net Primary Mole Productivity of Carbon by Diazotrophs,mon,Emon,672.86,1483
bddtdisi,Rate of Change of Dissolved Inorganic Silicon Due to Biological Activity,yr,Oyr,670.59,1935
ccb,Air Pressure at Convective Cloud Base,day,CFday,669.65,1978
mrsos,Moisture in Upper Portion of Soil Column,6hrPt,6hrPlevPt,661.64,1682
talknat,Natural Total Alkalinity,yr,Oyr,659.94,2996
ua10,Eastward Wind at 10hPa,day,AERday,657.39,532
dfeos,Surface Dissolved Iron Concentration,mon,Omon,652.40,6885
physi,Mole Concentration of Total Phytoplankton Expressed as Silicon in Sea Water,yr,Oyr,650.09,1745
tntpbl,Tendency of Air Temperature Due to Boundary Layer Mixing,subhrPt,Esubhr,650.05,101
detoc,Detrital Organic Carbon Concentration,yr,Oyr,648.69,5062
calc,Calcite Concentration,yr,Oyr,648.34,3073
ficeberg,Water Flux into Sea Water from Icebergs,mon,Omon,647.60,9769
opottemppsmadvect,Tendency of Sea Water Potential Temperature Expressed as Heat Content Due to Parameterized Submesoscale Advection,mon,Emon,644.25,209
ut,Product of Air Temperature and Eastward Wind,mon,Emon,636.51,208
mrlqso,Average Layer Fraction of Liquid Moisture,day,Eday,633.84,1837
mcd,Downdraft Convective Mass Flux,mon,CFmon,633.52,2097
snd,Snow Depth,mon,LImon,617.57,226469
hus,Specific Humidity,monC,Amon,616.55,366
clis,Mass Fraction of Stratiform Cloud Ice,mon,CFmon,616.43,1230
smc,Shallow Convective Mass Flux,mon,CFmon,616.00,3398
wap,Omega (=dp/dt),monC,Amon,615.82,310
prhmax,Maximum Hourly Precipitation Rate,6hr,6hrPlev,615.65,578
intppdiat,Net Primary Organic Carbon Production by Diatoms,mon,Omon,608.92,8338
tnhuspbl,Tendency of Specific Humidity Due to Boundary Layer Mixing,subhrPt,Esubhr,599.02,91
pbsi,Biogenic Silicon Production,yr,Oyr,598.90,2669
dmc,Deep Convective Mass Flux,mon,CFmon,596.77,1992
chlmisc,Mass Concentration of Other Phytoplankton Expressed as Chlorophyll in Sea Water,yr,Oyr,592.22,358
od550dust,Dust Optical Thickness at 550nm,mon,AERmon,589.31,16512
rsdoabsorb,Net Rate of Absorption of Shortwave Energy in Ocean Layer,yr,Oyr,585.20,2258
clwvic,Convective Condensed Water Path,day,Eday,585.17,326
tossq,Square of Sea Surface Temperature,mon,Omon,583.38,29197
prhmax,Maximum Hourly Precipitation Rate,day,Eday,582.60,1986
sios,Surface Total Dissolved Inorganic Silicon Concentration,mon,Omon,582.27,9018
ps,Surface Air Pressure,mon,AERmon,578.66,28027
tntrlcs,Tendency of Air Temperature Due to Clear Sky Longwave Radiative Heating,subhrPt,Esubhr,572.03,100
mrfsofr,Average Layer Fraction of Frozen Moisture,day,Eday,567.93,1736
hur,Evaporation Including Sublimation and Transpiration,day,CFday,567.54,25
csoil,Carbon Mass in Model Soil Pool,mon,Emon,563.92,92230
ra,Carbon Mass Flux into Atmosphere Due to Autotrophic (Plant) Respiration on Land [kgC m-2 s-1],mon,Lmon,561.92,99150
rsdt,TOA Incident Shortwave Radiation,subhrPt,Esubhr,560.61,55
ta,Air Temperature,day,EdayZ,559.25,13211
tran,Transpiration,mon,Lmon,558.74,89024
evspsblveg,Evaporation from Canopy,mon,Lmon,553.44,82859
cl,Percentage Cloud Cover,monC,Amon,549.90,187
chldiatos,Surface Mass Concentration of Diatoms Expressed as Chlorophyll in Sea Water,mon,Omon,548.61,8604
phydiat,Mole Concentration of Diatoms Expressed as Carbon in Sea Water,yr,Oyr,547.26,5003
pbfe,Biogenic Iron Production,yr,Oyr,546.10,2745
fsfe,Surface Downward Net Flux of Iron,mon,Omon,540.36,5445
hfls,Surface Upward Latent Heat Flux,day,Eday,540.11,3235
zg,Geopotential Height,day,EdayZ,536.48,11164
hfrunoffds,Temperature Flux Due to Runoff Expressed as Heat Flux into Sea Water,mon,Omon,536.24,923
rss,Net Shortwave Surface Radiation,mon,Emon,535.20,56502
clic,Mass Fraction of Convective Cloud Ice,3hrPt,CF3hr,534.93,125
rsut,TOA Outgoing Shortwave Radiation,subhrPt,Esubhr,532.57,50
