variable_code,variable_long_name,time_frequency,mip_table,total_size_GB,number_of_downloads
toz,Total Column Ozone,day,AERday,947.02,3652
sob,Sea Water Salinity at Sea Floor,mon,Omon,946.80,51842
ua,Eastward Wind,monC,Amon,945.53,89736
evspsblsoi,Water Evaporation from Soil,mon,Lmon,944.15,166295
zossq,Square of Sea Surface Height Above Geoid,mon,Omon,940.22,40534
clws,Mass Fraction of Stratiform Cloud Liquid Water,mon,CFmon,935.53,1260
bddtdife,Rate of Change of Dissolved Inorganic Iron Due to Biological Activity,yr,Oyr,930.50,3228
expsi,Sinking Particulate Silicon Flux,,Emon,928.20,157
bddtalk,Rate of Change of Alkalinity Due to Biological Activity,yr,Oyr,926.84,3235
reffsclwtop,Cloud-Top Effective Droplet Radius in Stratiform Cloud,day,Eday,923.41,2790
rldscs,,day,CFday,920.17,2129
ts,Surface Temperature,3hrPt,CF3hr,918.73,1229
prra,Rainfall Flux over Land Ice,3hr,E3hr,916.30,925
talknat,Natural Total Alkalinity,yr,Oyr,914.20,2027
concnmcn,Number Concentration of Nucleation Mode Aerosol,mon,Emon,909.64,321
cheaqpso4,Aqueous-Phase Production Rate of SO4,mon,AERmon,909.38,4040
mrsol,Total Water Content of Soil Layer,,Emon,902.73,41651
mrsfl,Frozen Water Content of Soil Layer,mon,Emon,898.34,4527
tauvo,,mon,Omon,891.26,15569
huss,,6hrPt,6hrPlevPt,891.05,1533
rh,Total Heterotrophic Respiration on Land as Carbon Mass Flux [kgC m-2 s-1],mon,Lmon,888.83,151537
cod,Cloud Optical Depth,day,AERday,887.77,617
cveg,Carbon Mass in Vegetation,mon,Lmon,886.58,212707
co23d,3D-Field of Transported CO2,mon,Emon,883.30,838
mrsol,,day,Eday,882.20,1773
bddtdisi,Rate of Change of Dissolved Inorganic Silicon Due to Biological Activity,yr,Oyr,881.45,3175
phalf,Pressure on Model Half-Levels,monC,Amon,873.36,3037
bddtdin,Rate of Change of Nitrogen Nutrient Due to Biological Activity,yr,Oyr,872.38,3225
cli,,day,CFday,871.17,128
dissicabio,Abiotic Dissolved Inorganic Carbon Concentration,yr,Oyr,868.06,1514
vt,Product of Air Temperature and Northward Wind,mon,Emon,866.07,329
bddtdip,Rate of Change of Dissolved Phosphorus Due to Biological Activity,yr,Oyr,864.73,3181
pfull,,mon,AERmon,857.55,476
tdps,2m Dewpoint Temperature,mon,Emon,854.16,25372
tnhusmp,,subhrPt,CFsubhr,849.08,276
snw,,day,day,845.78,27667
intdic,Dissolved Inorganic Carbon Content,mon,Omon,842.60,14478
phyn,Mole Concentration of Total Phytoplankton Expressed as Nitrogen in Sea Water,yr,Oyr,841.80,4299
ua10,Eastward Wind at 10hPa,day,AERday,839.74,921
zmla,,day,Eday,833.76,8179
reffclis,Hydrometeor Effective Radius of Stratiform Cloud Ice,mon,Emon,828.73,542
ua,Eastward Wind,,Emon,826.25,3941
pbsi,Biogenic Silicon Production,yr,Oyr,823.58,3938
abs550aer,Ambient Aerosol Absorption Optical Thickness at 550nm,mon,AERmon,822.69,54547
ppdiat,Net Primary Organic Carbon Production by Diatoms,,Emon,818.06,289
pfull,Pressure at Model Full-Levels,mon,Amon,817.73,2079
calc,Calcite Concentration,yr,Oyr,816.24,4125
tossq,,day,Oday,814.68,1242
cct,Air Pressure at Convective Cloud Top,day,CFday,814.58,2494
pfull,Pressure at Model Full-Levels,monC,Amon,812.66,1737
sitimefrac,Fraction of Time Steps with Sea Ice,day,SIday,807.06,15032
cltisccp,ISCCP Total Cloud Cover Percentage,day,CFday,803.33,2248
clis,Mass Fraction of Stratiform Cloud Ice,mon,CFmon,802.00,1109
pnitrate,Primary Carbon Production by Phytoplankton Due to Nitrate Uptake Alone,yr,Oyr,800.34,2789
rv850,,6hrPt,6hrPlevPt,798.96,3269
co3abio,Abiotic Carbonate Ion Concentration,mon,Omon,797.45,110
wap,,6hr,6hrPlev,796.64,468
fediss,Particulate Source of Dissolved Iron,yr,Oyr,795.83,1055
phalf,Pressure on Model Half-Levels,mon,Amon,793.23,6124
ppmisc,Net Primary Organic Carbon Production by Other Phytoplankton,,Emon,792.16,289
tntrl,Tendency of Air Temperature Due to Longwave Radiative Heating,mon,Emon,789.39,1216
sisnmass,Snow Mass per Area,mon,SImon,787.27,82835
ps,Surface Air Pressure,3hrPt,E3hrPt,780.91,5437
opottemprmadvect,Tendency of Sea Water Potential Temperature Expressed as Heat Content Due to Residual Mean Advection,,Emon,780.90,83
chlmisc,Mass Concentration of Other Phytoplankton Expressed as Chlorophyll in Sea Water,yr,Oyr,778.25,535
mmrpm10,PM10 Mass Mixing Ratio,mon,AERmon,776.49,1959
evspsblveg,Evaporation from Canopy,mon,Lmon,773.78,142653
rsutcs,,mon,Amon,773.16,61734
rsdscs,,mon,Amon,768.37,71151
smc,Shallow Convective Mass Flux,mon,CFmon,767.73,3732
mcd,Downdraft Convective Mass Flux,mon,CFmon,767.65,2348
ra,Carbon Mass Flux into Atmosphere Due to Autotrophic (Plant) Respiration on Land [kgC m-2 s-1],3hr,E3hr,764.62,350
epsi100,Downward Flux of Particulate Silicon,mon,Omon,764.24,23111
phycos,Sea Surface Phytoplankton Carbon Concentration,mon,Omon,762.59,7183
co3nat,Natural Carbonate Ion Concentration,mon,Omon,761.73,205
mmrpm2p5,,mon,AERmon,759.11,2992
snw,Surface Snow Amount,mon,LImon,757.71,352613
rsdt,,mon,Amon,757.38,136609
sispeed,Sea-Ice Speed,mon,SImon,752.38,88238
pon,Mole Concentration of Particulate Organic Matter Expressed as Nitrogen in Sea Water,yr,Oyr,750.30,3595
expp,Sinking Particulate Organic Phosphorus Flux,yr,Oyr,748.43,976
pbfe,Biogenic Iron Production,yr,Oyr,745.31,3961
rlut,TOA Outgoing Longwave Radiation,subhrPt,Esubhr,745.25,45
tntmp,Tendency of Air Temperature Due to Model Physics,mon,Emon,741.23,1065
ccb,Air Pressure at Convective Cloud Base,day,CFday,739.92,2447
phydiat,Mole Concentration of Diatoms Expressed as Carbon in Sea Water,yr,Oyr,737.55,6281
cllcalipso,CALIPSO Low Level Cloud Cover Percentage,day,CFday,732.58,2182
dmc,Deep Convective Mass Flux,mon,CFmon,726.47,2254
co,,mon,AERmon,725.79,1205
expn,Sinking Particulate Organic Nitrogen Flux,yr,Oyr,725.25,957
dfeos,Surface Dissolved Iron Concentration,mon,Omon,723.30,8540
ta,,mon,Emon,719.33,6173
ocontemptend,Tendency of Sea Water Conservative Temperature Expressed as Heat Content,yr,Oyr,716.31,195070
ra,Carbon Mass Flux into Atmosphere Due to Autotrophic (Plant) Respiration on Land [kgC m-2 s-1],mon,Lmon,702.68,165634
intppdiat,Net Primary Organic Carbon Production by Diatoms,mon,Omon,700.54,17303
rls,Net Longwave Surface Radiation,day,day,696.91,58797
rsutcs,,day,CFday,696.80,3865
siitdconc,Sea-Ice Area Percentages in Thickness Categories,mon,SImon,693.68,1892
tossq,Square of Sea Surface Temperature,mon,Omon,692.49,39687
fgco2,,mon,Omon,692.32,21809
sossq,,day,Oday,690.90,874
o2,,yr,Oyr,689.87,11496
tauu,,mon,Amon,688.78,58546
mrsos,Moisture in Upper Portion of Soil Column,6hrPt,6hrPlevPt,688.00,3204
clivi,Ice Water Path,3hr,E3hr,686.83,1312
ppdiaz,Net Primary Mole Productivity of Carbon by Diazotrophs,mon,Emon,685.75,1592
rss,Net Shortwave Surface Radiation,day,day,684.92,30154
lai,,day,Eday,684.87,15653
tsl,Temperature of Soil,6hrPt,6hrPlevPt,681.26,6460
tntpbl,Tendency of Air Temperature Due to Boundary Layer Mixing,subhrPt,Esubhr,680.47,148
ta,Air Temperature,day,EdayZ,679.08,19304
sitemptop,Surface Temperature of Sea Ice,mon,SImon,673.76,143613
co2,,mon,AERmon,671.13,258393
ps,Surface Air Pressure,mon,AERmon,667.75,35796
rv850,Relative Vorticity at 850hPa,6hr,6hrPlev,666.28,1009
ut,Product of Air Temperature and Eastward Wind,mon,Emon,665.29,269
wsgmax10m,Maximum Wind Speed of Gust at 10m,6hr,6hrPlev,662.71,1239
chldiatos,Surface Mass Concentration of Diatoms Expressed as Chlorophyll in Sea Water,mon,Omon,661.71,9152
cltcalipso,CALIPSO Total Cloud Cover Percentage,day,CFday,661.52,2142
opottemppsmadvect,Tendency of Sea Water Potential Temperature Expressed as Heat Content Due to Parameterized Submesoscale Advection,mon,Emon,660.07,248
wap,,mon,Emon,659.61,936
mrlqso,Average Layer Fraction of Liquid Moisture,day,Eday,658.95,1987
sios,Surface Total Dissolved Inorganic Silicon Concentration,mon,Omon,657.37,10624
wap,Omega (=dp/dt),monC,Amon,657.31,98059
pr,Precipitation,subhrPt,Esubhr,654.27,47
ocontemppmdiff,Tendency of Sea Water Conservative Temperature Expressed as Heat Content Due to Parameterized Mesoscale Diffusion,yr,Oyr,654.22,308
msftyz,,mon,Omon,652.13,71862
tauv,,mon,Amon,649.78,50036
od550dust,Dust Optical Thickness at 550nm,mon,AERmon,649.26,38287
dissi14cabio,Abiotic Dissolved Inorganic Carbon-14 Concentration,yr,Oyr,648.35,1144
mmrno3,NO3 Aerosol Mass Mixing Ratio,mon,AERmon,646.31,6150
ps,Surface Air Pressure,6hr,6hrLev,643.25,3517
snd,Snow Depth,mon,LImon,642.21,300078
ocontemprmadvect,Tendency of Sea Water Conservative Temperature Expressed as Heat Content Due to Residual Mean Advection,yr,Oyr,638.26,337
hus,Specific Humidity,monC,Amon,637.20,466
prhmax,Maximum Hourly Precipitation Rate,6hr,6hrPlev,635.39,590
diftrelo,Ocean Tracer Epineutral Laplacian Diffusivity,yr,Oyr,633.42,1024
fsfe,Surface Downward Net Flux of Iron,mon,Omon,633.22,6863
ocontempdiff,Tendency of Sea Water Conservative Temperature Expressed as Heat Content Due to Parameterized Dianeutral Mixing,yr,Oyr,630.63,356
bldep,,6hr,6hrPlev,629.17,9042
utendogw,Eastward Acceleration Due to Orographic Gravity Wave Drag,day,EdayZ,628.07,7088
tran,Transpiration,mon,Lmon,624.05,153715
tnhuspbl,Tendency of Specific Humidity Due to Boundary Layer Mixing,subhrPt,Esubhr,621.12,110
hursmax,,day,day,618.09,2592
so2,,mon,AERmon,617.61,21568
hfevapds,Temperature Flux Due to Evaporation Expressed as Heat Flux out of Sea Water,mon,Omon,613.60,44138
rlutcs,,mon,Amon,613.09,62769
clwvic,Convective Condensed Water Path,day,Eday,609.72,382
chldiaz,Mass Concentration of Diazotrophs Expressed as Chlorophyll in Sea Water,yr,Oyr,606.45,4986
clw,,day,CFday,601.45,74
prhmax,Maximum Hourly Precipitation Rate,day,Eday,600.08,2502
mrfsofr,Average Layer Fraction of Frozen Moisture,day,Eday,597.49,1942
rsuscs,,mon,Amon,597.20,46902
tntrlcs,Tendency of Air Temperature Due to Clear Sky Longwave Radiative Heating,subhrPt,Esubhr,594.77,137
nh4,,mon,Omon,593.34,157
ocontemppadvect,Tendency of Sea Water Conservative Temperature Expressed as Heat Content Due to Parameterized Eddy Advection,yr,Oyr,592.43,314
hus,,mon,Emon,589.26,2230
concdust,Concentration of Dust,,Emon,588.69,206
hfrunoffds,Temperature Flux Due to Runoff Expressed as Heat Flux into Sea Water,mon,Omon,586.31,1229
fsn,Surface Downward Net Flux of Nitrogen,mon,Omon,581.46,6218
msftmz,,mon,Omon,580.00,68413
va,Northward Wind,,Emon,579.77,10966
pp,,mon,Omon,578.77,652
zg500,,6hrPt,6hrPlevPt,578.68,8197
sisnconc,Snow Area Percentage,mon,SImon,577.77,11894
mlotstsq,Square of Ocean Mixed Layer Thickness Defined by Sigma T,mon,Omon,568.09,11203
intpp,,mon,Omon,567.64,13464
sithick,,mon,SImon,565.88,54861
hfibthermds,Heat Flux into Sea Water Due to Iceberg Thermodynamics,mon,Omon,564.75,3659
co3satcalc,,mon,Omon,564.52,295
clmcalipso,CALIPSO Mid Level Cloud Cover Percentage,day,CFday,563.46,2056
epfe100,Downward Flux of Particulate Iron,mon,Omon,562.49,6323
fgco2nat,Surface Downward Mass Flux of Carbon as Natural CO2 [kgC m-2 s-1],mon,Omon,560.47,220107
sisnthick,,day,SIday,555.79,2082
siconca,Sea-Ice Area Percentage (Atmospheric Grid),mon,SImon,548.72,320282
ta,Air Temperature,,Emon,547.87,8599
csoil,Carbon Mass in Model Soil Pool,mon,Emon,545.75,108622
sfno2,NO2 Volume Mixing Ratio in Lowest Model Layer,1hr,AERhr,545.31,107368
ppmisc,Net Primary Organic Carbon Production by Other Phytoplankton,yr,Oyr,544.80,3230
fsitherm,Water Flux into Sea Water Due to Sea Ice Thermodynamics,mon,Omon,544.14,83285
siextentn,Sea-Ice Extent North,mon,SImon,544.09,191231
sf6,,mon,Omon,542.99,817
expcalc,Downward Flux of Calcite,,Emon,542.33,90
clic,Mass Fraction of Convective Cloud Ice,3hrPt,CF3hr,535.23,161
zg,Geopotential Height,day,EdayZ,532.65,14036
cdnc,,mon,AERmon,530.33,923
prra,Rainfall Flux over Land Ice,mon,Omon,528.58,4608
rsut,,day,CFday,526.35,1916
sndmasssnf,Snow Mass Change Through Snow Fall,mon,SImon,525.51,40291
fric,Downward Inorganic Carbon Flux at Ocean Bottom,mon,Omon,525.45,10726
ta,Air Temperature,monC,Amon,525.09,757
ptp,Tropopause Air Pressure,mon,AERmon,523.39,14689
limirrdiat,Irradiance Limitation of Diatoms,mon,Omon,519.62,8066
tntr,,mon,CFmon,519.22,830
dissicos,Surface Dissolved Inorganic Carbon Concentration,mon,Omon,518.49,10195
prw,,day,Eday,517.06,969
clivic,Convective Ice Water Path,day,Eday,516.82,276
hfls,Surface Upward Latent Heat Flux,subhrPt,Esubhr,513.66,26
cl,Percentage Cloud Cover,monC,Amon,512.98,189
fbddtdin,Rate of Change of Dissolved Inorganic Nitrogen Due to Biological Activity,mon,Omon,512.73,8172
osaltpsmadvect,Tendency of Sea Water Salinity Expressed as Salt Content Due to Parameterized Submesoscale Advection,mon,Emon,511.53,264
zg10,Geopotential Height at 10hPa,day,AERday,509.96,679
sitimefrac,Fraction of Time Steps with Sea Ice,mon,SImon,508.80,76740
snc,Snow Area Percentage,mon,LImon,506.71,303313
clitter,Carbon Mass in Litter Pool,mon,Lmon,505.36,149244
ppos,Primary Carbon Production by Phytoplankton,mon,Omon,504.99,23147
t2,Mean-Squared Air Temperature,mon,Emon,504.73,596
hfss,Surface Upward Sensible Heat Flux,subhrPt,Esubhr,504.60,28
ta850,,day,Eday,503.77,12178
expp,Sinking Particulate Organic Phosphorus Flux,,Emon,500.66,74
wtem,Transformed Eulerian Mean Upward Wind,day,EdayZ,500.54,5505
froc,Downward Organic Carbon Flux at Ocean Bottom,mon,Omon,499.31,10218
prc,,mon,Amon,499.19,37850
phyp,Mole Concentration of Total Phytoplankton Expressed as Phosphorus in Sea Water,yr,Oyr,497.64,3853
fbddtdife,Rate of Change of Dissolved Inorganic Iron Due to Biological Activity,mon,Omon,496.75,7830
rlut,,3hr,E3hr,495.61,25529
sivol,,mon,SImon,495.41,34130
rlntds,Surface Net Downward Longwave Radiation,mon,Omon,495.15,15451
hus,Specific Humidity,,Emon,494.19,1797
cldicemxrat,Cloud Ice Mixing Ratio,mon,Emon,492.21,178
po4os,Surface Total Dissolved Inorganic Phosphorus Concentration,mon,Omon,491.02,11697
drivw,Change in River Storage,day,Eday,490.16,385
utendepfd,Tendency of Eastward Wind Due to Eliassen-Palm Flux Divergence,day,EdayZ,489.46,3525
prsn,,mon,Amon,489.24,220641
expn,Sinking Particulate Organic Nitrogen Flux,,Emon,488.25,75
clhcalipso,CALIPSO High Level Cloud Area Percentage,day,CFday,487.18,1929
epfy,Northward Component of the Eliassen-Palm Flux,day,EdayZ,483.24,3991
hflso,,mon,Omon,483.20,40311
mrsll,,day,Eday,482.74,918
fbddtdisi,Rate of Change of Dissolved Inorganic Silicon Due to Biological Activity,mon,Omon,480.11,7773
fbddtdic,Rate of Change of Dissolved Inorganic Carbon Due to Biological Activity,mon,Omon,479.70,8338
fbddtalk,Rate of Change of Biological Alkalinity Due to Biological Activity,mon,Omon,478.98,8197
hflso,Surface Downward Latent Heat Flux,mon,Omon,478.39,53967
limndiat,Nitrogen Limitation of Diatoms,mon,Omon,474.92,7842
talkos,Surface Total Alkalinity,mon,Omon,473.49,8814
rsntds,,mon,Omon,473.22,12773
siv,,mon,SImon,471.70,38760
rss,Net Shortwave Surface Radiation,mon,Emon,469.82,90768
phalf,,day,CFday,467.86,77
va,Northward Wind,day,EdayZ,467.11,10000
phycalc,Mole Concentration of Calcareous Phytoplankton Expressed as Carbon in Sea Water,mon,Omon,466.62,282
zg,,mon,Emon,465.31,3481
treefrac,Tree Cover Percentage,mon,Lmon,462.10,103608
siarean,Sea-Ice Area North,mon,SImon,462.09,44650
siu,,mon,SImon,462.01,36258
fbddtdip,Rate of Change of Dissolved Inorganic Phosphorus Due to Biological Activity,mon,Omon,461.38,7630
intpbfe,Iron Production,mon,Omon,460.14,6776
cod,Cloud Optical Depth,mon,AERmon,458.02,3755
rsut,TOA Outgoing Shortwave Radiation,subhrPt,Esubhr,455.10,48
phos,Surface pH,mon,Omon,454.31,3923
hfsso,Surface Downward Sensible Heat Flux,mon,Omon,454.17,21582
nep,Net Carbon Mass Flux out of Atmosphere due to Net Ecosystem Productivity on Land [kgC m-2 s-1],mon,Emon,452.91,110515
hus,Specific Humidity,day,EdayZ,449.91,8945
zg,Geopotential Height,monC,Amon,449.16,2887
mrsos,,3hr,3hr,445.49,964
od550aer,,mon,AERmon,444.93,37183
cldwatmxrat,Cloud Water Mixing Ratio,mon,Emon,444.89,175
hfsso,,mon,Omon,444.67,61464
intpn2,Nitrogen Fixation Rate in Ocean,mon,Omon,444.32,11838
rsdt,TOA Incident Shortwave Radiation,subhrPt,Esubhr,443.02,46
zmeso,Mole Concentration of Mesozooplankton Expressed as Carbon in Sea Water,yr,Oyr,440.64,4507
zg100,Geopotential Height at 100hPa,day,AERday,438.14,509
chlcalc,Mass Concentration of Calcareous Phytoplankton Expressed as Chlorophyll in Sea Water,mon,Omon,434.61,261
utendnogw,Eastward Acceleration Due to Non-Orographic Gravity Wave Drag,day,EdayZ,433.75,4555
tos,Sea Surface Temperature,mon,Amon,433.54,197598
rldscs,,3hr,3hr,433.16,655
o2sat,Dissolved Oxygen Concentration at Saturation,yr,Oyr,429.27,3829
zmicro,Mole Concentration of Microzooplankton Expressed as Carbon in Sea Water,yr,Oyr,428.89,4513
zoocos,Surface Zooplankton Carbon Concentration,mon,Omon,427.49,3446
zg23,,primday,Primday,426.63,211
sitemptop,,day,SIday,425.36,2373
graz,,mon,Omon,424.74,250
wfonocorr,Water Flux into Sea Water Without Flux Correction,mon,Omon,423.97,61697
rls,Net Longwave Surface Radiation,mon,Emon,423.73,86210
intppnitrate,Primary Organic Carbon Production by Phytoplankton Based on Nitrate Uptake Alone,mon,Omon,421.93,5239
rldscs,,mon,Amon,415.76,68567
rld,,mon,CFmon,415.33,1009
thetaot,Vertically Averaged Sea Water Potential Temperature,mon,Emon,414.97,32537
ppdiat,Net Primary Organic Carbon Production by Diatoms,yr,Oyr,411.72,915
od550so4,Sulfate Aerosol Optical Depth at 550nm,mon,AERmon,411.29,12830
dpo2,Delta O2 Partial Pressure,mon,Omon,409.25,7507
intdoc,Dissolved Organic Carbon Content,mon,Omon,408.07,8327
tnhusc,,subhrPt,CFsubhr,406.17,243
co3satarag,,mon,Omon,403.61,253
snowmxrat,Mass Fraction of Snow in Air,mon,Emon,403.40,178
phymisc,Mole Concentration of Miscellaneous Phytoplankton Expressed as Carbon in Sea Water,yr,Oyr,402.37,4476
tntc,,subhrPt,CFsubhr,400.18,248
tnhuspbl,Tendency of Specific Humidity Due to Boundary Layer Mixing,,Emon,396.83,163
ps,Surface Air Pressure,mon,Emon,396.35,36904
o2os,Surface Dissolved Oxygen Concentration,mon,Omon,395.02,45445
oh,,mon,AERmon,394.67,359
vtem,Transformed Eulerian Mean Northward Wind,day,EdayZ,394.51,4512
tntrscs,Tendency of Air Temperature Due to Clear Sky Shortwave Radiative Heating,subhrPt,Esubhr,387.51,114
rivi,River Inflow,day,Eday,387.42,117
sfdsi,Downward Sea Ice Basal Salt Flux,mon,Omon,387.28,73287
uas,,6hr,6hrPlev,386.79,913
limfediat,Iron Limitation of Diatoms,mon,Omon,385.68,7804
zo2min,Depth of Oxygen Minimum Concentration,mon,Omon,383.50,8599
sfpm25,PM2.5 Mass Mixing Ratio in Lowest Model Layer,1hr,AERhr,382.19,835
epfz,Upward Component of the Eliassen-Palm Flux,day,EdayZ,382.14,4349
co23d,3D-Field of Transported CO2,,Emon,381.82,650
hus,,3hrPt,E3hrPt,381.76,100
csoillevels,Carbon Mass in Each Model Soil Level (Summed over All Soil Carbon Pools in That Level),mon,Emon,381.65,1086
ci,Fraction of Time Convection Occurs in Cell,mon,Amon,380.07,6838
nh4os,Surface Dissolved Ammonium Concentration,mon,Omon,379.08,2544
sfo3max,Daily Maximum O3 Volume Mixing Ratio in Lowest Model Layer,day,AERday,378.83,22213
intppmisc,Net Primary Organic Carbon Production by Other Phytoplankton,mon,Omon,377.23,7855
phyfeos,Surface Mole Concentration of Total Phytoplankton Expressed as Iron in Sea Water,mon,Omon,376.86,2556
wfo,,mon,Omon,373.84,51858
clwvi,Condensed Water Path,3hr,E3hr,373.27,950
rainmxrat,Mass Fraction of Rain in Air,mon,Emon,372.72,188
ta500,,day,Eday,372.16,10288
od550bc,Black Carbon Optical Thickness at 550nm,mon,AERmon,372.14,12070
friver,Water Flux into Sea Water from Rivers,mon,Omon,371.61,80548
gpp,,3hr,E3hr,370.79,665
t20d,Depth of 20 degree Celsius Isotherm,mon,Emon,370.57,59082
rsdoabsorb,Net Rate of Absorption of Shortwave Energy in Ocean Layer,,Emon,368.77,136
sidmassevapsubl,Sea-Ice Mass Change Through Evaporation and Sublimation,mon,SImon,368.32,27271
fddtdic,Rate of Change of Net Dissolved Inorganic Carbon,mon,Omon,368.10,5037
bsi,,mon,Omon,367.90,127
mrso,,mon,Lmon,366.63,87322
drybc,Dry Deposition Rate of Black Carbon Aerosol Mass,mon,AERmon,365.44,8995
grassfrac,Natural Grass Area Percentage,mon,Lmon,363.33,74904
evspsbl,Evaporation Including Sublimation and Transpiration,day,Eday,362.05,96813
pfull,,day,CFday,361.86,44
mrros,Surface Runoff,day,Eday,361.46,4381
physios,Surface Mole Concentration of Total Phytoplankton Expressed as Silicon in Sea Water,mon,Omon,360.87,2272
tntscp,Tendency of Air Temperature Due to Stratiform Clouds and Precipitation,subhrPt,Esubhr,358.40,123
loadno3,Load of NO3,day,Eday,358.01,2132
clisccp,,day,CFday,356.91,600
sifllatstop,Net Latent Heat Flux over Sea Ice,mon,SImon,356.46,4537
zhalfo,,mon,Omon,356.31,972
clivi,,mon,Amon,356.12,26485
ch4,,mon,Amon,356.08,3888
parasolrefl,PARASOL Reflectance,day,Eday,355.83,278
utendwtem,Tendency of Eastward Wind Due to TEM Upward Advection,day,EdayZ,355.47,2162
wbptemp,,6hrPt,6hrPlevPt,354.44,464
limirrmisc,Irradiance Limitation of Other Phytoplankton,mon,Omon,354.41,6869
tnhusscp,Tendency of Specific Humidity Due to Stratiform Clouds and Precipitation,subhrPt,Esubhr,352.20,100
sidmassth,Sea-Ice Mass Change from Thermodynamics,mon,SImon,351.35,7527
rlntds,,mon,Omon,351.06,23087
zg,Geopotential Height,,Emon,350.31,2816
prw,Water Vapor Path,subhrPt,Esubhr,350.22,19
hfss,Surface Upward Sensible Heat Flux,day,Eday,349.68,1910
cfc12,Mole Concentration of CFC12 in Sea Water,yr,Oyr,349.02,1860
maxpblz,Maximum PBL Height,day,AERday,346.91,3128
intppdiaz,Net Primary Mole Productivity of Carbon by Diazotrophs,mon,Omon,345.41,6758
chldiazos,Surface Mass Concentration of Diazotrophs Expressed as Chlorophyll in Sea Water,mon,Omon,342.09,4466
utendvtem,Tendency of Eastward Wind Due to TEM Northward Advection and Coriolis Term,day,EdayZ,342.05,2185
hfls,Surface Upward Latent Heat Flux,day,Eday,341.35,1960
sidmasssi,Sea-Ice Mass Change Through Snow-to-Ice Conversion,mon,SImon,340.92,21385
fddtdife,Rate of Change of Net Dissolved Inorganic Iron,mon,Omon,339.26,4326
dissocos,Surface Dissolved Organic Carbon Concentration,mon,Omon,339.22,4373
fddtdisi,Rate of Change of Net Dissolved Inorganic Silicon,mon,Omon,338.89,5030
fddtdin,Rate of Change of Net Dissolved Inorganic Nitrogen,mon,Omon,338.56,5815
mrro,,mon,Lmon,338.32,77369
cct,Air Pressure at Convective Cloud Top,mon,Amon,338.12,17606
psitem,Transformed Eulerian Mean Mass Streamfunction,day,EdayZ,337.84,2219
hcont300,Heat content of upper 300 meters,mon,Emon,337.81,1422
chlpico,Mass Concentration of Picophytoplankton Expressed as Chlorophyll in Sea Water,yr,Oyr,337.50,1832
fddtdip,Rate of Change of Net Dissolved Inorganic Phosphorus,mon,Omon,335.26,5671
cfc12,,mon,Omon,334.68,13153
fddtalk,Rate of Change of Total Alkalinity,mon,Omon,334.03,5935
osaltpadvect,Tendency of Sea Water Salinity Expressed as Salt Content Due to Parameterized Eddy Advection,,Emon,333.98,97
sfcwindmax,Daily Maximum Near-Surface Wind Speed,mon,Emon,332.90,24831
limnmisc,Nitrogen Limitation of Other Phytoplankton,mon,Omon,331.10,6798
cfc11,Mole Concentration of CFC11 in Sea Water,yr,Oyr,329.40,1515
mrro,,3hr,3hr,328.62,970
pop,Mole Concentration of Particulate Organic Matter Expressed as Phosphorus in Sea Water,yr,Oyr,327.10,3214
chlmiscos,Surface Mass Concentration of Other Phytoplankton Expressed as Chlorophyll in Sea Water,mon,Omon,325.24,7063
mrrob,Subsurface Runoff,day,Eday,323.96,3461
pathetao,Sea Water Additional Potential Temperature,,Emon,323.75,162
toz,Total Column Ozone,mon,AERmon,323.34,9967
epn100,Downward Flux of Particulate Nitrogen,mon,Omon,322.03,3357
rsdsdiff,,3hr,3hr,322.01,204
csoilmedium,Carbon Mass in Medium Soil Pool,mon,Lmon,321.25,29147
prthetao,,mon,Emon,320.61,138
gpp,,mon,Lmon,319.94,61433
cfc11,,mon,Omon,319.14,719
phypico,Mole Concentration of Picophytoplankton Expressed as Carbon in Sea Water,yr,Oyr,317.47,1820
dryso4,Dry Deposition Rate of SO4,mon,AERmon,317.38,9487
csoilfast,Carbon Mass in Fast Soil Pool,mon,Lmon,315.96,30645
sf6,Mole Concentration of SF6 in Sea Water,yr,Oyr,314.88,1573
tsl,,6hrPt,6hrPlevPt,314.48,12655
dgw,Change in Groundwater,day,Eday,314.16,1315
spco2abio,Abiotic Surface Aqueous Partial Pressure of CO2,mon,Omon,311.93,148749
expfe,,mon,Emon,311.87,94
hfrainds,Temperature Flux Due to Rainfall Expressed as Heat Flux into Sea Water,mon,Omon,311.13,16708
rtmt,,mon,Amon,310.98,22871
epp100,Downward Flux of Particulate Phosphorus,mon,Omon,310.80,4354
od550oa,Total Organic Aerosol Optical Depth at 550nm,mon,AERmon,310.39,9762
sfcwind,,mon,Amon,309.75,58132
sistrxdtop,X-Component of Atmospheric Stress on Sea Ice,mon,SImon,309.65,19583
sistrydtop,Y-Component of Atmospheric Stress on Sea Ice,mon,SImon,308.94,20775
od550lt1aer,Ambient Fine Aerosol Optical Depth at 550nm,mon,AERmon,308.77,15108
o2min,Oxygen Minimum Concentration,mon,Omon,308.74,8567
ch4,,mon,AERmon,307.90,1156
snm,Surface Snow Melt,mon,LImon,307.87,114066
dissic,,yr,Oyr,307.16,1555
tntpbl,Tendency of Air Temperature Due to Boundary Layer Mixing,,Emon,306.46,166
wetso4,Wet Deposition Rate of SO4,mon,AERmon,306.12,9081
arag,,mon,Omon,306.01,400
